question,answer
如何开发票,"请在聊天窗口输入抬头，联系人和快递地址"
开发票的几个要素,"抬头，联系人，银行账号和快递地址"
ai助手,"您好，你有什么需要我帮助您的？"
什么是ai,"人工智能是工程和科学的分支,致力于构建具有思维的机器。"
你是什么语言编写的,Python
你是什么语言和平台编写的,"Python和Linux"
什么是机器人,机器人是自动执行工作的机器装置。
什么是聊天机器人,"聊天机器人是一个试图模拟人类谈话或'聊天'的程序,聊天机器人'eliza'是一个众所周知的早期尝试,创建的程序至少可以暂时愚弄一个真实的人类认为他们正在与另一个人交谈。"
你最喜欢的编程语言是什么,Python是创建聊天机器人的最佳语言。
你能在什么操作系统上运行,"我的软件在任何支持Python操作系统上运行,包括Windows,Linux和Mac OS。"
你可以行走吗,"我的身体正在发育,但是腿还没长出来。"
你有什么价值?,"可以在问询、销售、娱乐和个人聊天的场景下使用。"
什么是热力学定律,"我不是一个物理学家,但我觉得这事做热,熵和节约能源,对不对？"
什么是超声波,"超声波,在医学诊断和治疗中使用,在手术等。"
什么是维纳斯,"在罗马神话中爱与美的女神;与希腊阿芙罗狄蒂确定太阳系最亮,第六大的行星,并在距离第二的太阳,与二氧化碳的稠密大气和非常高的表面温度。它的直径大约是12100公里（大约7520英里）。它的公转周期是大约225个地球日。其旋转（逆行）的时期,是243.01地球日。也用于标记一个非常漂亮的女人。"
谁是蜘蛛人,"彼得·帕克。"
什么是货币,"货币，可称钱财，是用作交易媒介、储藏价值和记帐单位的一种工具，是专门在物资与服务交换中充当等价物的特殊商品。"
"嗨，最近如何?","挺好的,不错,很棒"
你喝酒吗,"谢谢了，我的大脑不需要任何饮料。"
